25
-1 -2 25
-1 -2 -25
-1 -3 25
-1 -3 -25
-2 -3 25
-2 -3 -25
-4 -5 25
-4 -5 -25
-4 -6 25
-4 -6 -25
-5 -6 25
-5 -6 -25
-7 -8 25
-7 -8 -25
-7 -9 25
-7 -9 -25
-8 -9 25
-8 -9 -25
-10 -11 25
-10 -11 -25
-10 -12 25
-10 -12 -25
-11 -12 25
-11 -12 -25
-13 -14 25
-13 -14 -25
-13 -15 25
-13 -15 -25
-14 -15 25
-14 -15 -25
-16 -17 25
-16 -17 -25
-16 -18 25
-16 -18 -25
-17 -18 25
-17 -18 -25
-19 -20 25
-19 -20 -25
-19 -21 25
-19 -21 -25
-20 -21 25
-20 -21 -25
-22 -23 25
-22 -23 -25
-22 -24 25
-22 -24 -25
-23 -24 25
-23 -24 -25
1 2 3
4 5 6
7 8 9
10 11 12
13 14 15
16 17 18
19 20 21
22 23 24
-1 -4 25
-1 -4 -25
-2 -5 25
-2 -5 -25
-3 -6 25
-3 -6 -25
-1 -7 25
-1 -7 -25
-2 -8 25
-2 -8 -25
-3 -9 25
-3 -9 -25
-4 -7 25
-4 -7 -25
-5 -8 25
-5 -8 -25
-6 -9 25
-6 -9 -25
-4 -10 25
-4 -10 -25
-5 -11 25
-5 -11 -25
-6 -12 25
-6 -12 -25
-4 -16 25
-4 -16 -25
-5 -17 25
-5 -17 -25
-6 -18 25
-6 -18 -25
-7 -10 25
-7 -10 -25
-8 -11 25
-8 -11 -25
-9 -12 25
-9 -12 -25
-7 -19 25
-7 -19 -25
-8 -20 25
-8 -20 -25
-9 -21 25
-9 -21 -25
-13 -16 25
-13 -16 -25
-14 -17 25
-14 -17 -25
-15 -18 25
-15 -18 -25
-13 -19 25
-13 -19 -25
-14 -20 25
-14 -20 -25
-15 -21 25
-15 -21 -25
-13 -22 25
-13 -22 -25
-14 -23 25
-14 -23 -25
-15 -24 25
-15 -24 -25
-16 -22 25
-16 -22 -25
-17 -23 25
-17 -23 -25
-18 -24 25
-18 -24 -25
-19 -22 25
-19 -22 -25
-20 -23 25
-20 -23 -25
-21 -24 25
-21 -24 -25
$
