50
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 7 1
1 8 1
1 9 1
1 10 1
1 11 1
1 12 1
1 13 1
1 14 1
1 15 1
1 16 1
1 17 1
1 18 1
1 19 1
1 50 1
2 1 1
2 3 1
2 50 1
3 1 1
3 2 1
3 50 1
4 1 1
4 5 1
4 20 1
4 23 1
4 26 1
4 50 1
5 1 1
5 4 1
5 47 1
5 50 1
6 1 1
6 7 1
6 29 1
6 32 1
6 35 1
6 50 1
7 1 1
7 6 1
7 48 1
7 50 1
8 1 1
8 9 1
8 38 1
8 41 1
8 44 1
8 50 1
9 1 1
9 8 1
9 49 1
9 50 1
10 1 1
10 11 1
10 21 1
10 27 1
10 50 1
11 1 1
11 10 1
11 24 1
11 50 1
12 1 1
12 13 1
12 22 1
12 25 1
12 50 1
13 1 1
13 12 1
13 28 1
13 50 1
14 1 1
14 15 1
14 30 1
14 36 1
14 50 1
15 1 1
15 14 1
15 33 1
15 50 1
16 1 1
16 17 1
16 31 1
16 34 1
16 50 1
17 1 1
17 16 1
17 37 1
17 50 1
18 1 1
18 19 1
18 39 1
18 45 1
18 50 1
19 1 1
19 18 1
19 42 1
19 50 1
20 4 1
20 21 1
20 22 1
20 40 1
20 43 1
20 50 1
21 10 1
21 20 1
21 22 1
21 46 1
21 50 1
22 12 1
22 20 1
22 21 1
22 50 1
23 4 1
23 24 1
23 25 1
23 50 1
24 11 1
24 23 1
24 25 1
24 50 1
25 12 1
25 23 1
25 24 1
25 50 1
26 4 1
26 27 1
26 28 1
26 50 1
27 10 1
27 26 1
27 28 1
27 50 1
28 13 1
28 26 1
28 27 1
28 50 1
29 6 1
29 30 1
29 31 1
29 50 1
30 14 1
30 29 1
30 31 1
30 50 1
31 16 1
31 29 1
31 30 1
31 50 1
32 6 1
32 33 1
32 34 1
32 50 1
33 15 1
33 32 1
33 34 1
33 50 1
34 16 1
34 32 1
34 33 1
34 50 1
35 6 1
35 36 1
35 37 1
35 50 1
36 14 1
36 35 1
36 37 1
36 50 1
37 17 1
37 35 1
37 36 1
37 50 1
38 8 1
38 39 1
38 40 1
38 50 1
39 18 1
39 38 1
39 40 1
39 50 1
40 20 1
40 38 1
40 39 1
40 50 1
41 8 1
41 42 1
41 43 1
41 50 1
42 19 1
42 41 1
42 43 1
42 50 1
43 20 1
43 41 1
43 42 1
43 50 1
44 8 1
44 45 1
44 46 1
44 50 1
45 18 1
45 44 1
45 46 1
45 50 1
46 21 1
46 44 1
46 45 1
46 50 1
47 5 1
47 48 1
47 49 1
47 50 1
48 7 1
48 47 1
48 49 1
48 50 1
49 9 1
49 47 1
49 48 1
49 50 1
50 1 1
50 2 1
50 3 1
50 4 1
50 5 1
50 6 1
50 7 1
50 8 1
50 9 1
50 10 1
50 11 1
50 12 1
50 13 1
50 14 1
50 15 1
50 16 1
50 17 1
50 18 1
50 19 1
50 20 1
50 21 1
50 22 1
50 23 1
50 24 1
50 25 1
50 26 1
50 27 1
50 28 1
50 29 1
50 30 1
50 31 1
50 32 1
50 33 1
50 34 1
50 35 1
50 36 1
50 37 1
50 38 1
50 39 1
50 40 1
50 41 1
50 42 1
50 43 1
50 44 1
50 45 1
50 46 1
50 47 1
50 48 1
50 49 1
$
Sam Gaines: heuristic solution (5 colors):
	Vertex 1: Color #2
	Vertex 2: Color #3
	Vertex 3: Color #4
	Vertex 4: Color #3
	Vertex 5: Color #4
	Vertex 6: Color #3
	Vertex 7: Color #4
	Vertex 8: Color #3
	Vertex 9: Color #4
	Vertex 10: Color #3
	Vertex 11: Color #4
	Vertex 12: Color #4
	Vertex 13: Color #3
	Vertex 14: Color #3
	Vertex 15: Color #4
	Vertex 16: Color #3
	Vertex 17: Color #4
	Vertex 18: Color #3
	Vertex 19: Color #4
	Vertex 20: Color #2
	Vertex 21: Color #4
	Vertex 22: Color #3
	Vertex 23: Color #2
	Vertex 24: Color #3
	Vertex 25: Color #5
	Vertex 26: Color #2
	Vertex 27: Color #4
	Vertex 28: Color #5
	Vertex 29: Color #2
	Vertex 30: Color #4
	Vertex 31: Color #5
	Vertex 32: Color #2
	Vertex 33: Color #3
	Vertex 34: Color #4
	Vertex 35: Color #2
	Vertex 36: Color #4
	Vertex 37: Color #3
	Vertex 38: Color #2
	Vertex 39: Color #4
	Vertex 40: Color #3
	Vertex 41: Color #2
	Vertex 42: Color #3
	Vertex 43: Color #4
	Vertex 44: Color #2
	Vertex 45: Color #4
	Vertex 46: Color #3
	Vertex 47: Color #2
	Vertex 48: Color #3
	Vertex 49: Color #5
	Vertex 50: Color #1
