22
-1 -2 22
-1 -2 -22
-1 -3 22
-1 -3 -22
-2 -3 22
-2 -3 -22
-4 -5 22
-4 -5 -22
-4 -6 22
-4 -6 -22
-5 -6 22
-5 -6 -22
-7 -8 22
-7 -8 -22
-7 -9 22
-7 -9 -22
-8 -9 22
-8 -9 -22
-10 -11 22
-10 -11 -22
-10 -12 22
-10 -12 -22
-11 -12 22
-11 -12 -22
-13 -14 22
-13 -14 -22
-13 -15 22
-13 -15 -22
-14 -15 22
-14 -15 -22
-16 -17 22
-16 -17 -22
-16 -18 22
-16 -18 -22
-17 -18 22
-17 -18 -22
-19 -20 22
-19 -20 -22
-19 -21 22
-19 -21 -22
-20 -21 22
-20 -21 -22
1 2 3
4 5 6
7 8 9
10 11 12
13 14 15
16 17 18
19 20 21
-1 -4 22
-1 -4 -22
-2 -5 22
-2 -5 -22
-3 -6 22
-3 -6 -22
-1 -7 22
-1 -7 -22
-2 -8 22
-2 -8 -22
-3 -9 22
-3 -9 -22
-1 -10 22
-1 -10 -22
-2 -11 22
-2 -11 -22
-3 -12 22
-3 -12 -22
-4 -7 22
-4 -7 -22
-5 -8 22
-5 -8 -22
-6 -9 22
-6 -9 -22
-4 -13 22
-4 -13 -22
-5 -14 22
-5 -14 -22
-6 -15 22
-6 -15 -22
-10 -16 22
-10 -16 -22
-11 -17 22
-11 -17 -22
-12 -18 22
-12 -18 -22
-10 -19 22
-10 -19 -22
-11 -20 22
-11 -20 -22
-12 -21 22
-12 -21 -22
-13 -16 22
-13 -16 -22
-14 -17 22
-14 -17 -22
-15 -18 22
-15 -18 -22
-13 -19 22
-13 -19 -22
-14 -20 22
-14 -20 -22
-15 -21 22
-15 -21 -22
-16 -19 22
-16 -19 -22
-17 -20 22
-17 -20 -22
-18 -21 22
-18 -21 -22
$
